epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,724.06,1.2045,2.66016,3.30309,1.13182,0,0.54181,0.22433,0.24415,0.17053,0.54703,0.21428,0.23135,0.14601,1.25802,2.64956,2.47596,1.15926,0,0.000333288,0.000333288,0.0670044
2,1323.3,1.25475,2.65782,2.18545,1.17713,0,0.58385,0.37894,0.37949,0.25848,0.57073,0.36089,0.35737,0.21806,1.24968,2.63346,1.83345,1.17209,0,0.000644623,0.000644623,0.0339824
3,1908.44,1.25226,2.67621,1.83989,1.18693,0,0.58468,0.40931,0.41422,0.28344,0.57858,0.39208,0.39227,0.23825,1.23,2.63414,1.63311,1.16496,0,0.000933958,0.000933958,0.000938443
4,2473.93,1.24861,2.6921,1.71917,1.18825,0,0.58658,0.4169,0.42961,0.29478,0.59014,0.39421,0.40586,0.24713,1.22001,2.62354,1.53352,1.15509,0,0.000901,0.000901,0.000901
5,3039.59,1.23689,2.68787,1.64312,1.18243,0,0.58279,0.41789,0.43727,0.30139,0.59108,0.3943,0.4126,0.25149,1.21064,2.61823,1.48153,1.14859,0,0.000868,0.000868,0.000868
6,3606.51,1.22692,2.67691,1.59295,1.17733,0,0.5788,0.42652,0.44239,0.30525,0.5828,0.40354,0.41745,0.2548,1.20569,2.61504,1.45036,1.14509,0,0.000835,0.000835,0.000835
7,4170.77,1.21845,2.67029,1.55685,1.17292,0,0.58669,0.42543,0.4457,0.30858,0.58303,0.40743,0.42095,0.25692,1.20249,2.611,1.42905,1.14248,0,0.000802,0.000802,0.000802
8,4735.82,1.2153,2.66581,1.53631,1.17032,0,0.58661,0.42774,0.44813,0.31042,0.58214,0.41054,0.42279,0.25826,1.19991,2.60767,1.41458,1.14037,0,0.000769,0.000769,0.000769
9,5300.81,1.21016,2.6588,1.5175,1.16586,0,0.58558,0.43032,0.44976,0.31205,0.59007,0.4072,0.42461,0.25945,1.19835,2.60552,1.403,1.13875,0,0.000736,0.000736,0.000736
10,5865.27,1.20574,2.65434,1.50127,1.16274,0,0.5848,0.43061,0.45136,0.31334,0.58537,0.41008,0.42583,0.26023,1.19703,2.603,1.3933,1.13719,0,0.000703,0.000703,0.000703
11,6432.64,1.20256,2.65009,1.48687,1.15968,0,0.59425,0.42942,0.45273,0.31389,0.59344,0.4077,0.42691,0.26089,1.19615,2.60065,1.38469,1.1356,0,0.00067,0.00067,0.00067
12,6999.75,1.19791,2.64586,1.47635,1.15586,0,0.6009,0.4277,0.45404,0.31493,0.59788,0.40756,0.42752,0.26129,1.19437,2.59974,1.37699,1.13343,0,0.000637,0.000637,0.000637
13,7570.32,1.19335,2.63655,1.46361,1.15161,0,0.61049,0.43016,0.45503,0.3157,0.60114,0.4105,0.4286,0.2619,1.19314,2.59847,1.3687,1.13164,0,0.000604,0.000604,0.000604
14,8142.3,1.19056,2.63237,1.45128,1.14859,0,0.60821,0.43061,0.45645,0.31677,0.60907,0.40848,0.42997,0.26278,1.19198,2.5971,1.36199,1.1297,0,0.000571,0.000571,0.000571
15,8716.76,1.18477,2.6256,1.44089,1.1461,0,0.60509,0.43259,0.45772,0.3178,0.60206,0.41284,0.43145,0.26383,1.19068,2.59538,1.35531,1.12755,0,0.000538,0.000538,0.000538
16,9291.4,1.18204,2.62425,1.43404,1.14406,0,0.60702,0.43363,0.45889,0.31873,0.61175,0.41141,0.43276,0.2646,1.18955,2.59277,1.34894,1.12591,0,0.000505,0.000505,0.000505
17,9858,1.18156,2.61794,1.427,1.14193,0,0.60121,0.43787,0.45951,0.31906,0.60044,0.41476,0.43378,0.26492,1.18815,2.59094,1.34247,1.12418,0,0.000472,0.000472,0.000472
18,10424.4,1.17958,2.62072,1.42377,1.14199,0,0.60411,0.43744,0.46048,0.31961,0.60142,0.41527,0.43428,0.26547,1.18728,2.58919,1.33659,1.1226,0,0.000439,0.000439,0.000439
19,10991.6,1.1768,2.61611,1.41742,1.13947,0,0.60535,0.43635,0.46115,0.32046,0.60516,0.41545,0.43566,0.26644,1.18596,2.58746,1.33066,1.12097,0,0.000406,0.000406,0.000406
20,11558,1.1732,2.61015,1.41038,1.13789,0,0.60549,0.437,0.46218,0.32135,0.60575,0.41449,0.43658,0.26712,1.18466,2.58548,1.32473,1.11922,0,0.000373,0.000373,0.000373
21,12125.1,1.17437,2.55461,1.29514,1.13586,0,0.60822,0.43872,0.46324,0.32224,0.60778,0.41583,0.43738,0.26785,1.18184,2.58389,1.3191,1.1164,0,0.00034,0.00034,0.00034
22,12688.5,1.16978,2.54549,1.27768,1.13096,0,0.61284,0.43765,0.46457,0.32359,0.6113,0.41641,0.43909,0.26898,1.18002,2.58154,1.31369,1.11412,0,0.000307,0.000307,0.000307
23,13252.3,1.16586,2.53925,1.26659,1.12857,0,0.61517,0.43855,0.46561,0.32483,0.61673,0.41595,0.43994,0.26964,1.1782,2.58032,1.30851,1.11215,0,0.000274,0.000274,0.000274
24,13817.1,1.16177,2.53583,1.25752,1.12654,0,0.61211,0.4411,0.46645,0.32561,0.61383,0.41884,0.44116,0.27059,1.17689,2.57827,1.30406,1.1102,0,0.000241,0.000241,0.000241
25,14382.8,1.1594,2.52657,1.24815,1.12387,0,0.61539,0.4408,0.46739,0.32635,0.61353,0.41999,0.44199,0.27106,1.17626,2.57641,1.30037,1.10886,0,0.000208,0.000208,0.000208
26,14947.1,1.1568,2.52058,1.24466,1.12187,0,0.61512,0.44141,0.46762,0.32662,0.61293,0.42119,0.44229,0.27136,1.17597,2.57608,1.29715,1.10763,0,0.000175,0.000175,0.000175
27,15510.8,1.15263,2.51517,1.23745,1.12008,0,0.61968,0.44099,0.46863,0.32722,0.61457,0.42174,0.44256,0.27195,1.17545,2.57457,1.29397,1.10664,0,0.000142,0.000142,0.000142
28,16076.3,1.15194,2.51503,1.22991,1.11868,0,0.62109,0.44062,0.46954,0.32783,0.61638,0.42163,0.44325,0.27229,1.17487,2.57398,1.29104,1.10572,0,0.000109,0.000109,0.000109
29,16640.7,1.14887,2.50403,1.22629,1.11765,0,0.62377,0.4396,0.47013,0.3281,0.61562,0.42145,0.44361,0.27246,1.17477,2.57306,1.28876,1.10503,0,7.6e-05,7.6e-05,7.6e-05
30,17205.4,1.14539,2.50284,1.22291,1.11564,0,0.62642,0.43822,0.47044,0.32865,0.61665,0.42082,0.4435,0.2726,1.17452,2.57207,1.28682,1.10438,0,4.3e-05,4.3e-05,4.3e-05
